Area,Compactness,Length of kernel,Asymmetry coefficient,Wheat Type
15.26,0.871,5.763,2.221,Kama
14.88,0.8811,5.554,1.018,Kama
14.29,0.905,5.291,2.699,Kama
13.84,0.8955,5.324,2.259,Kama
16.14,0.9034,5.658,1.355,Kama
14.38,0.8951,5.386,2.462,Kama
14.69,0.8799,5.563,3.586,Kama
14.11,0.8911,5.42,2.7,Kama
16.44,0.888,5.884,1.969,Kama
15.26,0.8696,5.714,4.543,Kama
14.03,0.8796,5.438,1.717,Kama
13.89,0.888,5.439,3.986,Kama
13.78,0.8759,5.479,3.136,Kama
13.74,0.8744,5.482,2.932,Kama
14.59,0.8993,5.351,4.185,Kama
13.99,0.9183,5.119,5.234,Kama
15.69,0.9058,5.527,1.599,Kama
14.7,0.9153,5.205,1.767,Kama
12.72,0.8686,5.226,4.102,Kama
14.16,0.8584,5.658,3.072,Kama
14.11,0.8722,5.52,2.688,Kama
15.88,0.8988,5.618,0.7651,Kama
12.08,0.8664,5.099,1.415,Kama
15.01,0.8657,5.789,1.791,Kama
13.02,0.8641,5.395,3.373,Kama
12.74,0.8564,5.395,2.504,Kama
14.11,0.882,5.541,2.754,Kama
13.45,0.8604,5.516,3.531,Kama
13.16,0.8662,5.454,0.8551,Kama
15.49,0.8724,5.757,3.412,Kama
14.09,0.8529,5.717,3.92,Kama
13.94,0.8728,5.585,2.124,Kama
15.05,0.8779,5.712,2.129,Kama
16.12,0.9,5.709,2.27,Kama
16.2,0.8734,5.826,2.823,Kama
14.8,0.8823,5.656,3.112,Kama
14.28,0.8944,5.397,6.685,Kama
13.54,0.8871,5.348,2.587,Kama
13.5,0.8852,5.351,2.249,Kama
13.16,0.9009,5.138,2.461,Kama
15.5,0.882,5.877,4.711,Kama
15.11,0.8986,5.579,3.128,Kama
13.8,0.8794,5.376,1.56,Kama
15.36,0.8861,5.701,1.367,Kama
14.99,0.8883,5.57,2.958,Kama
14.79,0.8819,5.545,2.704,Kama
14.86,0.8676,5.678,2.129,Kama
14.43,0.8751,5.585,3.975,Kama
15.78,0.8923,5.674,5.593,Kama
14.49,0.8538,5.715,4.116,Kama
14.33,0.8831,5.504,3.328,Kama
14.52,0.8557,5.741,1.481,Kama
15.03,0.8658,5.702,1.933,Kama
14.46,0.8818,5.388,2.802,Kama
14.92,0.9006,5.384,1.142,Kama
15.38,0.8857,5.662,1.999,Kama
12.11,0.8392,5.159,1.502,Kama
12.36,0.8923,5.076,3.22,Kama
13.22,0.868,5.395,4.157,Kama
12.78,0.8716,5.262,1.176,Kama
12.88,0.8879,5.139,2.352,Kama
14.34,0.8726,5.63,1.313,Kama
14.01,0.8625,5.609,2.217,Kama
14.37,0.8726,5.569,1.464,Kama
12.73,0.8458,5.412,3.533,Rosa
16.84,0.8623,5.998,4.675,Rosa
17.26,0.8763,5.978,4.539,Rosa
19.11,0.9081,6.154,2.936,Rosa
16.82,0.8786,6.017,4.004,Rosa
16.77,0.8638,5.927,4.92,Rosa
17.32,0.8599,6.064,3.824,Rosa
20.71,0.8763,6.579,4.451,Rosa
18.94,0.875,6.445,5.064,Rosa
17.12,0.8892,5.85,2.858,Rosa
16.53,0.8823,5.875,5.532,Rosa
18.72,0.8977,6.006,5.324,Rosa
20.2,0.8894,6.285,5.173,Rosa
19.57,0.8779,6.384,1.472,Rosa
19.51,0.878,6.366,2.962,Rosa
18.27,0.887,6.173,2.443,Rosa
18.88,0.8969,6.084,1.649,Rosa
18.98,0.859,6.549,3.691,Rosa
21.18,0.8989,6.573,5.78,Rosa
20.88,0.9031,6.45,5.016,Rosa
20.1,0.8746,6.581,1.955,Rosa
18.76,0.8984,6.172,3.12,Rosa
18.81,0.8906,6.272,3.237,Rosa
18.59,0.9066,6.037,6.001,Rosa
18.36,0.8452,6.666,4.933,Rosa
16.87,0.8648,6.139,3.696,Rosa
19.31,0.8815,6.341,3.477,Rosa
18.98,0.8687,6.449,2.144,Rosa
18.17,0.8637,6.271,2.853,Rosa
18.72,0.881,6.219,2.188,Rosa
16.41,0.8866,5.718,4.217,Rosa
17.99,0.8992,5.89,2.068,Rosa
19.46,0.8985,6.113,4.308,Rosa
19.18,0.8717,6.369,3.357,Rosa
18.95,0.8829,6.248,3.368,Rosa
18.83,0.8917,6.037,2.553,Rosa
18.85,0.9056,6.152,2.843,Rosa
17.63,0.88,6.033,3.747,Rosa
19.94,0.8752,6.675,3.252,Rosa
18.55,0.8865,6.153,1.738,Rosa
18.45,0.8921,6.107,2.235,Rosa
19.38,0.8716,6.303,3.678,Rosa
19.13,0.9035,6.183,2.109,Rosa
19.14,0.8722,6.259,6.682,Rosa
20.97,0.8859,6.563,4.677,Rosa
19.06,0.8854,6.416,2.248,Rosa
18.96,0.9077,6.051,4.334,Rosa
19.15,0.889,6.245,3.084,Rosa
18.89,0.9008,6.227,3.639,Rosa
20.03,0.8811,6.493,3.063,Rosa
20.24,0.8897,6.315,5.901,Rosa
18.14,0.8772,6.059,3.619,Rosa
16.17,0.8588,5.762,4.286,Rosa
18.43,0.9077,5.98,2.984,Rosa
15.99,0.9064,5.363,3.336,Rosa
18.75,0.8999,6.111,4.188,Rosa
18.65,0.8698,6.285,4.391,Rosa
17.98,0.8993,5.979,2.257,Rosa
20.16,0.8735,6.513,1.91,Rosa
17.55,0.8991,5.791,5.366,Rosa
18.3,0.9108,5.979,2.837,Rosa
18.94,0.8942,6.144,2.908,Rosa
16.16,0.8644,5.845,4.266,Rosa
15.56,0.8823,5.776,4.972,Rosa
17.36,0.8785,6.145,3.526,Rosa
15.6,0.858,5.832,2.725,Rosa
16.23,0.885,5.872,3.769,Rosa
13.32,0.8613,5.541,7.035,Canadian
13.34,0.862,5.389,5.995,Canadian
12.22,0.8652,5.224,5.469,Canadian
11.82,0.8274,5.314,4.471,Canadian
11.21,0.8167,5.279,6.169,Canadian
11.43,0.8335,5.176,2.221,Canadian
12.49,0.8658,5.267,4.421,Canadian
12.7,0.8491,5.386,3.26,Canadian
10.79,0.8107,5.317,5.462,Canadian
11.83,0.8496,5.263,5.195,Canadian
12.26,0.8333,5.408,4.756,Canadian
11.18,0.8266,5.22,3.332,Canadian
11.36,0.8382,5.175,4.048,Canadian
11.19,0.8253,5.25,5.813,Canadian
11.34,0.8596,5.053,3.347,Canadian
12.13,0.8081,5.394,4.825,Canadian
11.75,0.8082,5.444,4.378,Canadian
11.49,0.8263,5.304,5.388,Canadian
12.54,0.8425,5.451,3.082,Canadian
12.02,0.8503,5.35,4.271,Canadian
12.05,0.8416,5.267,4.988,Canadian
12.55,0.8558,5.333,4.419,Canadian
11.14,0.8558,5.011,6.388,Canadian
12.1,0.8793,5.105,2.201,Canadian
12.44,0.8462,5.319,4.924,Canadian
12.15,0.8443,5.417,3.638,Canadian
11.35,0.8291,5.176,4.337,Canadian
11.24,0.8359,5.09,6.735,Canadian
11.02,0.8189,5.325,4.956,Canadian
11.55,0.8455,5.167,6.715,Canadian
11.27,0.8419,5.088,4.309,Canadian
11.4,0.8375,5.136,5.588,Canadian
10.83,0.8099,5.278,5.182,Canadian
10.8,0.859,4.981,4.773,Canadian
11.26,0.8355,5.186,5.335,Canadian
10.74,0.8329,5.145,4.702,Canadian
11.48,0.8473,5.18,5.876,Canadian
12.21,0.8453,5.357,1.661,Canadian
11.41,0.856,5.09,4.957,Canadian
12.46,0.8706,5.236,4.987,Canadian
12.19,0.8579,5.24,4.857,Canadian
11.65,0.8575,5.108,5.209,Canadian
12.89,0.8541,5.495,6.185,Canadian
11.56,0.8198,5.363,4.062,Canadian
11.81,0.8198,5.413,4.898,Canadian
10.91,0.8372,5.088,4.179,Canadian
11.23,0.8594,5.089,7.524,Canadian
10.59,0.8648,4.899,4.975,Canadian
10.93,0.839,5.046,5.398,Canadian
11.27,0.8563,5.091,3.985,Canadian
11.87,0.8795,5.132,3.597,Canadian
10.82,0.8256,5.18,4.853,Canadian
12.11,0.8639,5.236,4.132,Canadian
12.8,0.886,5.16,4.873,Canadian
12.79,0.8786,5.224,5.483,Canadian
12.62,0.8481,5.41,3.306,Canadian
12.76,0.8964,5.073,2.828,Canadian
12.38,0.8609,5.219,5.472,Canadian
12.67,0.8977,4.984,2.3,Canadian
11.18,0.868,5.009,4.051,Canadian
12.7,0.8874,5.183,8.456,Canadian
12.37,0.8567,5.204,3.919,Canadian
12.19,0.8783,5.137,3.631,Canadian
11.23,0.8511,5.14,4.325,Canadian
13.2,0.8883,5.236,8.315,Canadian
11.84,0.8521,5.175,3.598,Canadian
12.3,0.8684,5.243,5.637,Canadian
